Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
4 Ingredient Paleo Crêpes,french,paleo,15.37,56.89,83.58,2022-10-16,17:29:34,155.84
4-Ingredient Keto Chicken Curry Recipe,indian,keto,93.24,29.98,147.63,2022-10-16,18:03:32,270.85
4-Ingredient THM Chocolate Coconut Candy (easy keto fat bombs!),french,keto,4.22,13.09,220.95,2022-10-16,18:08:31,238.26
40 Minute Fresh Keto Chili recipes,american,keto,172.37,55.88,201.08,2022-10-16,18:05:13,429.33
5 Ingredient Mediterranean Dip recipes,mediterranean,mediterranean,22.95,13.03,52.44,2022-10-16,16:48:24,88.42
5 Ingredient No Bake Vegan Date Squares recipes,american,vegan,100.09,831.04,179.01,2022-10-16,20:07:46,1110.14
5 Layer Mediterranean Dip,mediterranean,mediterranean,14.33,17.24,21.07,2022-10-16,16:44:30,52.64
5 Minute Grape Sorbet recipes,mediterranean,paleo,3.28,107.24,0.73,2022-10-16,17:23:46,111.25
5 Minute Keto Egg Drop Soup recipes,chinese,keto,22.16,14.92,26.79,2022-10-16,18:06:00,63.87
5 Minute Keto Pesto recipes,italian,keto,47.93,14.09,203.9,2022-10-16,18:02:38,265.92
5 Minute Keto Pizza recipes,italian,keto,29.07,23.2,33.98,2022-10-16,18:02:51,86.25
5 Minute Keto Raspberry Vinaigrette recipes,french,keto,0.74,9.21,108.4,2022-10-16,18:04:26,118.35
5 Minute Paleo Sorbet,italian,paleo,5.57,53.23,36.58,2022-10-16,17:29:34,95.38
5 Minute Vegan Kale Pesto recipes,american,vegan,13.62,20.92,135.28,2022-10-16,20:06:32,169.82
5 Minute Vegan Pumpkin Soup recipes,american,vegan,30.87,168.45,44.04,2022-10-16,20:06:59,243.36
5-Ingredient Keto and Vegan Chocolate Almond Balls,american,keto,49.36,85.59,132.62,2022-10-16,18:06:07,267.57
5-Ingredient Lemon Yogurt Marinated Grilled Chicken Breasts,american,mediterranean,129.13,8.13,73.69,2022-10-16,16:49:39,210.95
5-Ingredient Low Carb Clam Chowder (Gluten-free) recipes,american,paleo,114.23,68.24,103.49,2022-10-16,17:29:13,285.96
"5-Ingredient Roasted Tomato Soup (Low Carb, Gluten-free) recipes",eastern europe,paleo,7.68,30.35,36.87,2022-10-16,17:25:13,74.9
"5-Min Microwave Paleo Chocolate Cake Recipe [Paleo, GF]",american,paleo,14.34,43.94,44.76,2022-10-16,17:28:06,103.04
"5-Min Prosciutto Avocado Fat Bomb Recipe [Paleo, Keto]",italian,keto,50.36,24.7,43.33,2022-10-16,18:07:37,118.39
5-Minute Creamy Keto Cucumber Salad,american,keto,2.18,13.72,22.67,2022-10-16,18:05:13,38.57
5-Minute Vegan Breakfast Burritos,american,vegan,76.01,132.07,50.95,2022-10-16,20:05:31,259.03
5-layer Keto Dip recipes,mexican,keto,108.3,101.44,381.15,2022-10-16,18:02:38,590.89
7 layer mexican dip,mexican,vegan,102.31,337.22,197.22,2022-10-16,20:04:37,636.75
90 SECOND KETO BREAD WITHOUT EGGY TASTE,american,keto,19.7,7.74,38.36,2022-10-16,18:06:00,65.8
90-Second Keto Bread in a Mug,british,keto,13.88,7.98,34.26,2022-10-16,18:03:25,56.12
A Better Mug Cake - from the Oven,french,dash,11.86,90.85,27.46,2022-10-16,20:36:52,130.17
A Charoset-inspired sweet relish,french,dash,10.42,80.79,28.06,2022-10-16,20:39:09,119.27
A Creamy Sauced Pasta With Artichokes And Bacon,mediterranean,dash,136.18,322.0,152.19,2022-10-16,20:33:18,610.37
A Cuban version of a Manhattan Recipe,american,dash,0.01,0.39,0.0,2022-10-16,20:30:56,0.4
A Healthy Mediterranean Dip for Super Bowl Sunday,mediterranean,mediterranean,92.93,183.79,136.57,2022-10-16,16:45:50,413.29
A Little Fruit with My Crisp,american,dash,60.88,628.45,274.77,2022-10-16,20:38:20,964.1
A Mediterranean Twist to your BBQ,american,mediterranean,28.74,191.58,28.33,2022-10-16,16:45:30,248.65
A No Bake Paleo Chocolate Cashew Coconut Dessert That’s Healthy,american,paleo,27.93,87.43,751.19,2022-10-16,17:22:32,866.55
"A Recipe For Long Grain Brown Rice Pilaf (Vegan, Gluten Free)",mediterranean,vegan,43.94,188.1,47.11,2022-10-16,20:08:40,279.15
"A Recipe for Long Grain Brown Rice Pilaf (Vegan, Gluten Free)",mediterranean,vegan,31.85,171.16,41.35,2022-10-16,20:08:47,244.36
A Spanish Potato Tortilla On Hiking Trails,mediterranean,dash,33.91,71.29,28.06,2022-10-16,20:31:11,133.26
A Sweet Potato Burrito Packs Your Morning with Power,mexican,vegan,27.38,237.56,30.22,2022-10-16,20:12:46,295.16
A&O Pasta (Almonds & Oysters Pasta),italian,dash,77.66,256.82,169.44,2022-10-16,20:39:23,503.92
"AIP Italian Burgers Recipe [Paleo, Keto]",nordic,keto,92.56,23.41,58.4,2022-10-16,18:04:39,174.37
"AIP Lime Pickled Radishes [Paleo, Keto] – An Easy Side Dish Recipe",american,keto,0.4,4.35,0.09,2022-10-16,18:08:44,4.84
ATHENOS Seven-Layer Dip,american,mediterranean,107.37,302.39,100.57,2022-10-16,16:47:11,510.33
Absinthe and Old Lace Cocktail Recipe,american,dash,3.19,17.14,5.47,2022-10-16,20:33:51,25.8
"Absinthe, Anyone? Try The Necromancer Cocktail recipes",world,dash,0.11,12.0,0.11,2022-10-16,20:31:44,12.22
Acorn Squash Fondue,french,dash,71.36,81.84,191.57,2022-10-16,20:33:58,344.77
Acorn Squash Stuffed with Chard & White Beans,italian,mediterranean,67.87,233.76,52.7,2022-10-16,16:47:24,354.33
Acorn Squash Stuffed with Chard & White Beans for Two,french,mediterranean,34.18,115.22,27.23,2022-10-16,16:47:31,176.63
Adam's Vanilla Chia Pudding,british,keto,19.78,51.14,76.19,2022-10-16,18:09:12,147.11
"Addicting Paleo Cashew Hummus (Paleo, low",mediterranean,paleo,112.95,191.68,494.13,2022-10-16,17:25:07,798.76
Adonis Recipe,british,dash,0.13,7.39,0.0,2022-10-16,20:31:04,7.52
Agave Lime Chicken,american,dash,228.97,115.98,222.1,2022-10-16,20:29:27,567.05
Agave Lime Chicken recipes,american,dash,150.85,124.57,144.13,2022-10-16,20:29:27,419.55
Agave teriyaki salmon and brown rice,nordic,dash,225.47,399.61,133.27,2022-10-16,20:34:18,758.35
Air Fried Asparagus with Garlic and Parmesan | Keto Friendly,american,keto,3.75,1.26,6.93,2022-10-16,18:07:37,11.94
Air Fried Keto Thai Chili Cauliflower Bites,american,keto,23.02,51.98,59.55,2022-10-16,17:58:36,134.55
"Air Fryer Cauliflower {Whole30, Paleo, Vegan, Keto}",american,keto,8.73,29.85,5.77,2022-10-16,18:06:34,44.35
Air Fryer Keto Chicken Wings,american,keto,238.79,4.96,188.08,2022-10-16,18:02:38,431.83
"Air Fryer Keto Fried Chicken | Paleo, Gluten Free",american,keto,286.43,23.91,262.67,2022-10-16,18:07:57,573.01
Air Fryer Keto Garlic Cheese 'Bread',american,keto,75.96,9.1,78.4,2022-10-16,18:05:40,163.46
Air Fryer Keto Low Carb Fried Chicken Recipe,american,keto,235.37,21.22,126.31,2022-10-16,18:07:50,382.9
Air Fryer Keto Onion Rings Recipe,american,keto,40.48,32.67,34.71,2022-10-16,18:05:40,107.86
Air Fryer Keto Pork Chops,mexican,keto,176.8,10.24,92.62,2022-10-16,18:04:12,279.66
Air Fryer Recipes (131 Style),italian,paleo,6.02,19.0,18.58,2022-10-16,17:24:06,43.6
"Ajo Blanco (Spanish Chilled ""White Gazpacho"" Bread and Almond Soup) Recipe",mediterranean,vegan,43.39,90.72,95.4,2022-10-16,20:10:58,229.51
Ají (Colombian-Style Tomato and Onion Salsa) Recipe,mexican,vegan,2.92,12.61,0.63,2022-10-16,20:10:51,16.16
Al's Bloody Best,world,dash,1.0,4.81,0.35,2022-10-16,20:29:20,6.16
Alaska Cocktail Recipe,world,dash,0.01,4.56,0.04,2022-10-16,20:30:10,4.61
Alexander McCream Spiced Pumpkin Ice Cream,american,dash,15.35,136.14,59.35,2022-10-16,20:34:58,210.84
All the 'melon Ceviche (vegan),american,vegan,14.32,122.56,31.66,2022-10-16,20:05:31,168.54
"All the Veggies In Your Fridge, Stir-Fry (Low Oil, Vegan, GF)",american,vegan,10.96,123.44,15.73,2022-10-16,20:09:03,150.13
All-Purpose Citrus Dressing,mediterranean,dash,0.64,3.77,27.41,2022-10-16,20:29:47,31.82
Almond Apricot Dips Recipe,british,mediterranean,13.63,100.74,49.17,2022-10-16,16:48:38,163.54
"Almond Butter Freezer Fudge (Keto, Vegan, Gluten-free, Paleo)",american,keto,55.06,75.09,200.22,2022-10-16,18:08:24,330.37
Almond Crusted Tilapia,mediterranean,paleo,135.57,96.94,107.04,2022-10-16,17:23:05,339.55
"Almond Flour Crust for Tarts or Pies - Gluten Free, Low Carb, Sugar Free, Paleo recipes",american,paleo,62.5,84.87,199.1,2022-10-16,17:22:52,346.47
Almond Flour Fried Chicken (Keto-Friendly),american,keto,128.8,116.32,307.62,2022-10-16,18:05:33,552.74
Almond Keto Hummus,mediterranean,keto,36.9,47.5,106.68,2022-10-16,17:59:56,191.08
Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,dash,191.06,25.06,137.85,2022-10-16,20:33:58,353.97
Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,paleo,191.06,25.06,137.85,2022-10-16,17:21:24,353.97
Almond Potato Puff,french,dash,58.57,147.97,154.35,2022-10-16,20:35:52,360.89
Almond-Apricot Chicken with Mint Pesto,italian,mediterranean,199.63,84.21,194.66,2022-10-16,16:46:57,478.5
Almond-Crusted Tilapia,mediterranean,dash,78.56,19.76,39.02,2022-10-16,20:35:32,137.34
Almond-Thyme-Crusted Mahi Mahi with Lemon Chardonnay Sauce,mediterranean,dash,33.78,27.43,28.67,2022-10-16,20:39:36,89.88
Aloo Gobi,indian,vegan,26.68,178.925,22.38,2022-10-16,20:08:20,227.98
Alouette Crumbled Feta Mediterranean Caponata,mediterranean,mediterranean,37.35,64.48,107.8,2022-10-16,16:48:31,209.63
Alouette Crumbled Feta Mediterranean Caponata Recipe,mediterranean,mediterranean,37.35,64.48,107.8,2022-10-16,16:48:31,209.63
Always Wonderful Refried Bean Dip,mexican,dash,148.19,436.35,22.94,2022-10-16,20:37:13,607.48
Amalfi Style Shrimp,mediterranean,dash,103.99,68.59,33.41,2022-10-16,20:35:25,205.99
"Amaranth ""Risotto"" With Mushrooms",italian,vegan,87.04,417.85,126.84,2022-10-16,20:10:10,631.73
Amaretto-spiked Chocolate Mousse recipes,italian,vegan,51.89,188.64,99.61,2022-10-16,20:07:39,340.14
Amazing Apple Tart,american,dash,13.39,175.6,55.28,2022-10-16,20:39:30,244.27
"Amazing Paleo Pizza Crust - vegan, autoimmune paleo & cauliflower free recipes",italian,paleo,8.28,167.87,33.64,2022-10-16,17:31:11,209.79
Americano Cocktail,world,dash,0.22,3.51,0.02,2022-10-16,20:30:43,3.75
Amish Pumpkin Cinnamon Rolls with Caramel Icing recipes,american,dash,56.31,494.69,107.09,2022-10-16,20:38:40,658.09
Anaheim Shrimp Scampi,chinese,dash,125.48,102.63,151.58,2022-10-16,20:33:51,379.69
Ancient Arabic Coffee Shows Guests You Think They’re Worth It,middle eastern,mediterranean,1.64,10.27,0.2,2022-10-16,16:47:44,12.11
Andrea Nguyen's Saag Soy Paneer,indian,vegan,50.48,52.34,95.34,2022-10-16,20:11:45,198.16
Andrew Zimmern’s Hot Crab and Artichoke Dip,mediterranean,dash,108.01,53.22,159.59,2022-10-16,20:36:32,320.82
Angel Food Cake,american,paleo,55.09,283.94,5.02,2022-10-16,17:21:24,344.05
"Angel Food Cake (Grain-Free, Paleo) recipes",american,paleo,58.83,330.85,126.65,2022-10-16,17:23:12,516.33
Animal-Style Patty Melts (Vegan),american,vegan,70.0,50.08,167.2,2022-10-16,20:13:20,287.28
Anything-But-Clementine Clafoutis,french,dash,34.82,237.19,100.71,2022-10-16,20:36:46,372.72
Aperol Spritz Cocktail,world,dash,0.29,6.1,0.02,2022-10-16,20:29:53,6.41
Appetizer Meatballs (Frozen Meatballs),american,dash,161.54,279.67,181.99,2022-10-16,20:30:10,623.2
Appetizer Recipe: Miso Sweet Potato Bites,japanese,vegan,29.62,206.76,42.3,2022-10-16,20:07:46,278.68
Apple 'Cider' Soup,american,dash,20.42,186.74,10.57,2022-10-16,20:30:23,217.73
Apple Camembert Salad,mediterranean,dash,15.0,43.27,59.51,2022-10-16,20:36:25,117.78
Apple Cider Poppyseed Salad recipes,mediterranean,paleo,22.75,175.37,133.44,2022-10-16,17:27:05,331.56
Apple Cinnamon Rum recipes,world,dash,0.2,11.97,0.15,2022-10-16,20:31:11,12.32
Apple Cinnamon Turnovers,middle eastern,dash,13.99,155.78,36.19,2022-10-16,20:32:44,205.96
Apple Crostata with Oat Crumble Topping,french,dash,47.82,676.38,178.16,2022-10-16,20:39:23,902.36
Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,paleo,5.6,46.5,18.34,2022-10-16,17:21:31,70.44
Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,vegan,5.6,46.5,18.34,2022-10-16,20:12:26,70.44
Apple Inception Cocktail,world,dash,0.23,7.09,0.1,2022-10-16,20:39:16,7.42
Apple Injected Smoked Pork,mediterranean,dash,422.8,112.22,300.14,2022-10-16,20:34:58,835.16
Apple Phyllo Cornucopias recipes,mediterranean,dash,33.67,458.82,59.43,2022-10-16,20:33:24,551.92
Apple Pie,american,dash,20.96,564.57,142.26,2022-10-16,20:32:31,727.79
Apple Pie Grilled Cheese Sandwich recipes,american,dash,20.42,63.28,44.17,2022-10-16,20:32:24,127.87
Apple Pie Overnight Oats Recipe,american,vegan,74.41,185.78,142.31,2022-10-16,20:09:16,402.5
Apple Pumpkin Soup,american,paleo,9.95,64.53,19.56,2022-10-16,17:21:24,94.04
Apple Spinach Salad With Zippy Dressing,mediterranean,dash,13.44,75.06,46.69,2022-10-16,20:38:00,135.19
Apple Turnovers recipes,french,dash,39.2,323.65,191.08,2022-10-16,20:38:54,553.93
Apple and Cashew Spread Sandwich,mediterranean,dash,15.98,54.71,33.77,2022-10-16,20:34:38,104.46
Apple and cabbage salad with apple molasses dressing,middle eastern,dash,52.14,217.83,197.97,2022-10-16,20:30:03,467.94
"Apple, Pear, And Sage Pie With Maple Walnut Crunch And Salted Honey Yogurt",american,vegan,77.2,673.23,194.71,2022-10-16,20:08:26,945.14
Apple-Bacon Egg Bake,american,dash,43.18,48.95,76.63,2022-10-16,20:34:25,168.76
Apple-Chestnut Cornbread Stuffing,american,vegan,55.26,424.43,86.48,2022-10-16,20:12:40,566.17
Apple-Cranberry Cobbler,american,vegan,88.21,772.5,75.84,2022-10-16,20:08:20,936.55
Apple-Cranberry Crumb Pie,american,dash,13.61,578.56,25.03,2022-10-16,20:37:33,617.2
Apple-Pecan Mini Pies recipes,american,dash,48.31,380.02,104.58,2022-10-16,20:33:04,532.91
Apricot Bites Paleo,french,paleo,6.74,59.88,50.54,2022-10-16,17:26:48,117.16
Apricot Jalapeno Paleo Jam,british,paleo,18.08,213.75,5.09,2022-10-16,17:30:55,236.92
Apricot Kuchen,american,vegan,71.48,744.37,79.76,2022-10-16,20:12:26,895.61
"Apricot, Cucumber, Pluot, and Lime Basil Salad",american,dash,3.14,28.6,0.86,2022-10-16,20:30:03,32.6
April’s Spicy Pumpkin Soup,american,paleo,15.46,181.09,63.21,2022-10-16,17:29:34,259.76
Aromatic Coconut Rice recipes,indian,vegan,35.06,342.77,69.42,2022-10-16,20:06:59,447.25
Artichoke & Black Olive Tart,mediterranean,mediterranean,102.45,237.63,78.35,2022-10-16,16:45:17,418.43
Artichoke Francaise,mediterranean,paleo,35.81,127.03,62.87,2022-10-16,17:21:31,225.71
Artichoke Fritters,mediterranean,dash,44.63,174.64,69.66,2022-10-16,20:38:40,288.93
Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,paleo,22.61,68.6,103.89,2022-10-16,17:21:31,195.1
Artichokes alla Romana,mediterranean,dash,32.8,150.19,3.86,2022-10-16,20:39:16,186.85
Artichokes with Broad Beans and Almonds,mediterranean,mediterranean,63.55,128.47,254.0,2022-10-16,16:47:51,446.02
Arugula Salad with Chicken and Apricots,mediterranean,dash,83.16,36.04,59.89,2022-10-16,20:38:27,179.09
Arugula Salad with Shrimp and Grapes,american,dash,59.82,74.45,23.0,2022-10-16,20:40:03,157.27
Arugula With Steak,american,dash,183.23,9.68,134.77,2022-10-16,20:30:03,327.68
"Arugula, Feta, Artichoke & Tomato Flat",mediterranean,mediterranean,92.69,133.64,134.27,2022-10-16,16:49:05,360.6
Asian (Soy and Citrus) Glazed Chicken Thighs,indian,dash,152.58,28.84,145.1,2022-10-16,20:32:51,326.52
Asian Asparagus Salad With Peanuts and Mint Dressing [vegan],american,vegan,35.41,104.48,84.24,2022-10-16,20:07:53,224.13
Asian Bulgur Wheat Salad,chinese,vegan,20.18,99.19,29.31,2022-10-16,20:10:10,148.68
"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,paleo,39.84,54.08,71.55,2022-10-16,17:20:09,165.47
Asian Chicken Meatballs,south east asian,dash,92.17,29.28,70.63,2022-10-16,20:35:18,192.08
Asian Chicken Salad,asian,paleo,69.61,44.66,128.44,2022-10-16,17:21:24,242.71
Asian Eggplant Stir fry,asian,vegan,15.96,120.62,15.11,2022-10-16,20:10:44,151.69
Asian Healthy Broccoli Salad,chinese,paleo,61.72,116.82,136.47,2022-10-16,17:23:19,315.01
Asian Inspired Keto Pork Chops recipes,chinese,keto,150.08,16.64,65.35,2022-10-16,18:06:00,232.07
Asian Ketchup – “Cheater Method”,asian,dash,19.45,146.57,8.88,2022-10-16,20:37:13,174.9
Asian Meatballs recipes,indian,paleo,167.07,55.11,210.14,2022-10-16,17:20:16,432.32
Asian Meatballs with Shitake Mushrooms recipes,japanese,dash,98.3,49.13,68.5,2022-10-16,20:38:00,215.93
Asian Salmon Burgers with Grilled Scallions recipes,nordic,dash,95.73,13.53,81.57,2022-10-16,20:34:04,190.83
Asian Sesame Chicken & Broccoli,chinese,paleo,107.67,31.95,70.25,2022-10-16,17:21:24,209.87
"Asian Southwest Fusion EASY Kimchi Recipe (Paleo, Vegan Friendly) recipes",american,paleo,18.18,90.26,1.62,2022-10-16,17:24:00,110.06
Asian Stir Fried String Beans with Pork,south east asian,dash,49.65,47.34,78.72,2022-10-16,20:39:57,175.71
Asian Vegetable Noodle Toss,asian,dash,77.6,250.83,13.97,2022-10-16,20:39:03,342.4
Asian-Spiced Pecans,american,dash,39.9,62.85,293.97,2022-10-16,20:30:10,396.72
Asian-Style Lettuce Wraps,japanese,vegan,50.77,54.64,18.12,2022-10-16,20:06:05,123.53
Asian-style Cabbage Slaw w/Tofu and Crunchy Ramen,japanese,vegan,35.24,95.9,42.98,2022-10-16,20:12:19,174.12
Asparagus & lemon spaghetti with peas,italian,vegan,34.55,164.06,31.77,2022-10-16,20:09:43,230.38
Asparagus And Brie Open Pastry,french,mediterranean,48.32,39.28,65.74,2022-10-16,16:49:05,153.34
Asparagus Garlic Scape Pesto Spaghetti recipes,italian,vegan,16.02,42.41,54.27,2022-10-16,20:05:04,112.7
Asparagus Wrapped in Prosciutto,italian,dash,77.41,12.4,96.55,2022-10-16,20:37:19,186.36
Asparagus and Arugula Pizza with Vegan Pesto,italian,vegan,24.25,80.63,40.53,2022-10-16,20:02:42,145.41
Asparagus recipes,chinese,vegan,11.74,10.23,32.11,2022-10-16,20:05:17,54.08
Asparagus with Warm Vinaigrette,french,dash,10.38,31.92,0.63,2022-10-16,20:29:27,42.93
"Assorted Greens with Feta, Cinnamon Dusted Pecans and Raspberry Vinaigrette",american,dash,24.97,173.85,306.44,2022-10-16,20:32:58,505.26
Atf Gingerbread Cake With Gingery Cream Cheese Frosting,american,dash,43.7,834.47,175.62,2022-10-16,20:39:03,1053.79
Au Gratin Potatoes (Scalloped Potatoes),french,dash,89.15,279.78,129.73,2022-10-16,20:34:04,498.66
Aubergine & chickpea bites,french,vegan,60.56,259.79,59.97,2022-10-16,20:09:56,380.32
"Aubergine, Pepper and Feta Parcels recipes",mediterranean,mediterranean,72.02,234.74,114.23,2022-10-16,16:48:58,420.99
"Aubergine, chilli & bacon pasta",italian,mediterranean,75.33,300.22,104.05,2022-10-16,16:46:17,479.6
Aunt Rocky’s Almond Butter Fat Bomb,american,keto,26.23,64.01,110.21,2022-10-16,18:09:12,200.45
Aunt Rocky’s Chicken & Avocado Wraps Filling,american,keto,12.29,6.47,38.41,2022-10-16,18:09:05,57.17
"Aunt Rocky’s Chorizo and Spaghetti Squash Casserole (Low Carb, Keto)",italian,keto,126.73,77.95,197.8,2022-10-16,18:08:51,402.48
"Aunt Rocky’s Chorizo and Spaghetti Squash Casserole (Low Carb, Keto)",italian,paleo,126.73,77.95,197.8,2022-10-16,17:27:31,402.48
Aunt Rocky’s Colored Sprinkles (Sugar Free),american,keto,0.0,12.0,0.0,2022-10-16,18:09:18,12.0
Aunt Rocky’s Crustless Quiche Lorraine (LCHF/Keto),french,keto,71.79,35.12,138.53,2022-10-16,18:07:23,245.44
Aunt Rocky’s Garlic Butter Shrimp with Asparagus,french,keto,50.72,12.14,70.62,2022-10-16,18:09:05,133.48
"Aunt Rocky’s Keto Hot Cocoa Mix (Sugar Free, Dairy Free, Low Carb)",american,keto,37.91,165.84,34.48,2022-10-16,18:08:58,238.23
"Aunt Rocky’s Keto Hot Cocoa Mix (Sugar Free, Dairy Free, Low Carb)",american,paleo,37.91,165.84,34.48,2022-10-16,17:25:00,238.23
Aunt Rocky’s Keto Pumpkin Spice Latte (Sugar-Free),world,keto,1.13,41.1,11.31,2022-10-16,18:07:37,53.54
"Aunt Rocky’s Onion Pie in Biscuit Crust (Low Carb, Gluten Free)",american,paleo,72.94,95.74,162.6,2022-10-16,17:25:00,331.28
"Aunt Rocky’s Quick Protein Eggnog (Sugar Free, Low Carb)",world,keto,7.09,40.72,16.1,2022-10-16,18:09:12,63.91
